a,b
A man wearing a dark blue t-shirt and blue jeans and a younger woman wearing a red flowered dress are dancing together.,A man wearing a dark blue t-shirt and blue jeans and a young woman wearing a red flowered dress are dancing together.
A hip older man and a younger woman dance at a party in front of a young audience.,A hip older man and a young woman dance at a party in front of a young audience.
"A tall man and a shorter man walking and talking, wearing the same sandals.","A tall man and a short man walking and talking, wearing the same sandals."
The woman is larger than the girl.,The woman is large
They are riding tricycles cause it is easier,They are riding tricycles cause it is easy
The view from the mountain could be better,The view from the mountain could be good
A daughter explains how to better use the camera her mother has on her phone after failed family snap shots.,A daughter explains how to good use the camera her mother has on her phone after failed family snap shots.
"An red-haired older woman, holding a younger girl's hand, looks at the camera.","An red-haired older woman, holding a young girl's hand, looks at the camera."
The buildings are taller than the woman.,The buildings are tall
The cowgirl's horse is smaller than the calf.,The cowgirl's horse is small
The man drinking the beverage is no longer thirsty.,The man drinking the beverage is no long thirsty.
A young man wearing all great is filling a cooler up with an assortment of foods.,A young man wearing all great is filling a cool up with an assortment of foods.
A man loads up a cooler full of food,A man loads up a cool full of food
A little girl and her younger sibling are seated behind an adult who is taking them on a bike ride near forested hills on a sunny day.,A little girl and her young sibling are seated behind an adult who is taking them on a bike ride near forested hills on a sunny day.
The cooler is red.,The cool is red.
A woman in a white dress with a bouquet talks with an older man as a woman walks away in the background and a younger man in a suit looks on from afar.,A woman in a white dress with a bouquet talks with an older man as a woman walks away in the background and a young man in a suit looks on from afar.
Two girls are walking down the street towards a bigger group of people.,Two girls are walking down the street towards a big group of people.
A large dog runs through a field with a smaller dog.,A large dog runs through a field with a small dog.
A large dog and two smaller dogs running around in the snow.,A large dog and two small dogs running around in the snow.
The man found it easiest to capture souls when the lighting allowed him to focus solely on his targets with greater precision.,The man found it easiest to capture souls when the lighting allowed him to focus solely on his targets with great precision.
Two smaller dogs and one larger dog with a puffy white tail are playing in a field.,Two smaller dogs and one large dog with a puffy white tail are playing in a field.
"Person jumping off diving board, while younger child is walking onto a smaller diving board.","Person jumping off diving board, while younger child is walking onto a small diving board."
Two boys are getting into a van and a younger boy is in a car seat.,Two boys are getting into a van and a young boy is in a car seat.
"Two brown-skinned boys, One in a yellow t-shirt and beige pants with sandals, riding behind a smaller boy in a striped blue shirt and white pants, both riding a blue chopper bicycle.","Two brown-skinned boys, One in a yellow t-shirt and beige pants with sandals, riding behind a small boy in a striped blue shirt and white pants, both riding a blue chopper bicycle."
The polo game was running a bit longer than expected.,The polo game was running a bit long
A younger male and female are sitting on a blue bench while reading books.,A young male and female are sitting on a blue bench while reading books.
A small puppy stands on his hind legs to bite a bigger dog who is lying on the stairs.,A small puppy stands on his hind legs to bite a big dog who is lying on the stairs.
A father holds up his daughter so she can get a better view of the concert from his shoulders.,A father holds up his daughter so she can get a good view of the concert from his shoulders.
Large dog plays with two smaller dogs on grass.,Large dog plays with two small dogs on grass.
A large dog wards off a smaller dog.,A large dog wards off a small dog.
Four younger guys walking down the sidewalk looking at the camera.,Four young guys walking down the sidewalk looking at the camera.
